movie_id,f_rep,percent_profit,vote_average
21734,0.1429,NULL,7.7
22292,0.7500,NULL,7.6
22683,0.6667,NULL,7.6
22881,0.8000,1066.24,7.5
23128,0.6667,NULL,8.1
23619,1.0000,NULL,7.4
24226,0.1000,337.36,7.5
24238,0.3333,292.32,7.8
24428,0.2500,690.71,7.6
25188,0.4444,2241.00,7.8
25673,0.5000,NULL,7.4
25934,0.3333,NULL,7.6
26371,0.5556,121915200.00,7.6
26596,0.2500,NULL,7.6
27205,0.2000,515.96,8.3
28145,0.5714,NULL,7.8
28162,0.4000,NULL,7.9
28178,0.4286,298.76,8
28971,0.6667,NULL,8
31011,0.5000,4.96,7.9
31767,0.5000,NULL,7.6
33602,0.6000,NULL,7.9
33997,0.6667,NULL,7.5
34148,0.5000,NULL,7.4
34653,0.3750,356.64,7.4
36040,1.0000,NULL,7.4
36557,0.3636,399.36,7.4
36685,0.1250,9407.69,7.6
37135,0.3333,298.67,7.4
37165,0.2353,440.20,8
37247,0.4286,3498.18,7.7
37257,1.0000,300.00,8.3
37775,0.3333,NULL,7.4
38757,0.2143,227.61,7.5
40662,0.0833,NULL,7.7
43949,0.4444,12.54,7.4
44214,0.6250,2521.57,7.6
44639,0.2500,393.58,7.8
45269,0.2000,2761.41,7.7
49020,0.4000,NULL,7.4
49026,0.1463,433.98,7.7
50014,0.7143,497.09,8.1
57158,0.1000,383.36,7.6
59436,0.4375,503.73,7.5
59440,0.1250,92.23,7.8
64682,0.3333,334.32,7.4
64690,0.2500,520.37,7.5
68718,0.1579,425.37,8
71859,0.3333,153.79,7.6
74308,0.5000,NULL,7.5
74643,0.3571,889.55,7.4
75656,0.2500,156.93,7.4
75964,0.2000,NULL,7.9
76203,0.2632,935.00,7.9
76341,0.2857,252.57,7.4
82695,0.2222,724.28,7.4
82702,0.2727,420.08,7.7
83666,0.4444,426.64,7.7
84892,0.4545,256.92,7.8
85350,0.3333,1108.72,7.5
96721,0.4286,237.49,7.7
100402,0.2308,420.45,7.7
101299,0.2105,651.86,7.4
106646,0.1667,392.00,7.9
109424,0.2000,172.73,7.6
113833,0.1250,NULL,8
118340,0.2593,454.90,7.9
120467,0.1304,582.00,8
